goalkeeper,shots_faced,goals_conceded,save_ratio
Robin Olsen,0.7656600472873492,0.0,1.0
David de Gea Quintana,0.0640240612430803,0.0,1.0
Néstor Fernando Muslera Micol,0.04938932167627457,0.0,1.0
Danijel Subašić,0.16735812371220574,0.0,1.0
Wilfredo Daniel Caballero,0.06422843374794192,0.0,1.0
David Ospina Ramírez,0.10853103221894157,0.0,1.0
Aymen Mathlouthi,0.019328741623090385,0.0,1.0
Łukasz Fabiański,0.054960030644848126,0.0,1.0
Hannes Þór Halldórsson,0.17139776297352916,0.0,1.0
Lovre Kalinić,0.04236194992004178,0.0,1.0
Mohamed El Sayed Mohamed El Shenawy Gomaa,0.07565885512368745,0.0,1.0
Igor Akinfeev,0.08784044054874245,0.0,1.0
Rui Pedro dos Santos Patrício,0.5941688483201746,0.0,1.0
Munir Mohand Mohamedi,0.03807433267274606,0.0,1.0
Mouez Hassen,0.016270248572033665,0.0,1.0
Farouk Ben Mustapha,0.03413693228165964,0.0,1.0
Franco Armani,0.01940233057170849,0.0,1.0
Francis Odinaka Uzoho,0.06076096136322568,0.0,1.0
Sergio Javier Goycochea,1.955035319580491e-10,0.0,1.0
Claudio Andre Mergen Taffarel,2.7929075994007012e-11,0.0,1.0
Jean-Marie Pfaff,1.045863304138227e-11,0.0,1.0
Neri Alberto Pumpido Barrinat,3.140275972324634e-11,0.0,1.0
Harald Anton Schumacher,4.391008943523563e-12,0.0,1.0
Peter Shilton,1.039918841118868e-11,0.0,1.0
Jürgen Croy,7.157636968265843e-15,0.0,1.0
Jan Jongbloed,7.237890295143186e-15,0.0,1.0
Sepp Maier,3.825157644282947e-15,0.0,1.0
Émerson Leão,1.2834295927274135e-15,0.0,1.0
Daniel Alberto Carnevali,1.899709485753978e-15,0.0,1.0
Ronnie Carl Hellström,4.790671602285517e-15,0.0,1.0
Félix Miéli Venerando,1.2266483329174206e-15,0.0,1.0
Gordon Banks,1.7755652403818455e-16,0.0,1.0
Luis Rubiños Cerna,2.184910424294426e-16,0.0,1.0
Stere Adamache,1.273089445807074e-16,0.0,1.0
Necula Răducanu 'Rică',6.36544722903537e-17,0.0,1.0
Enrico Albertosi,2.4746537000792904e-16,0.0,1.0
Ladislao Mazurkiewicz Iglesias,1.9388823309858544e-16,0.0,1.0
Ivo Viktor,2.2655855484262924e-16,0.0,1.0
Gylmar dos Santos Neves,2.772809364761442e-19,0.0,1.0
Antonio Félix Carbajal Rodríguez,1.066384683800052e-18,0.0,1.0
Karl-Oskar Svensson,4.7948962020693074e-20,0.0,1.0
Claude Abbes,7.915933957157101e-20,0.0,1.0
Fernando Pacheco Flores,0.7830243498798639,0.0,1.0
Norberto Murara Neto,0.8819581692423366,0.0,1.0
Rui Tiago Dantas da Silva,0.4251992739680752,0.0,1.0
Iván Villar Martínez,0.5416424046559081,0.0,1.0
Joel Robles Blázquez,0.2719480646668221,0.0,1.0
Sergio Herrera Pirón,0.6392527799360085,0.0,1.0
Aitor Fernández Abarisketa,0.8653131906721044,0.0,1.0
Sergio Asenjo Andrés,0.710978329091049,0.0,1.0
Álvaro Fernández Llorente,0.4886740117331662,0.0,1.0
David Soria Solís,0.3762208551632471,0.0,1.0
Jaume Doménech Sánchez,0.43556470791139507,0.0,1.0
Aarón Escandell Banacloche,0.3321085684192015,0.0,1.0
Jasper Cillessen,0.41897370827491626,0.0,1.0
Alejandro Remiro Gargallo,0.43675939785664475,0.0,1.0
Jordi Masip López,0.8885579059286193,0.0,1.0
Jeremías Ledesma,0.6630274545138679,0.0,1.0
Edgar Badía Guardiola,0.09802765572178819,0.0,1.0
Marko Dmitrović,0.12245060838232598,0.0,1.0
Iván Cuéllar Sacristán,0.2716257742182034,0.0,1.0
Rubén Blanco Veiga,0.33869199840177366,0.0,1.0
Manuel Reina Rodríguez,0.15951354674639112,0.0,1.0
Roberto Jiménez Gago,0.13329850155177478,0.0,1.0
Diego López Rodríguez,0.3353062598835435,0.0,1.0
Tomáš Vaclík,0.9468288600854983,0.0,1.0
Gerónimo Rulli,0.13369917647684704,0.0,1.0
Pau López Sabata,2.1676397100633267,0.0,1.0
Iago Herrerín Buisán,0.058188340666013035,0.0,1.0
Axel Werner,0.061351069796300374,0.0,1.0
Asier Riesgo Unamuno,0.029497305147691038,0.0,1.0
Stole Dimitrievski,0.7072526921013418,0.0,1.0
Oier Olazábal Paredes,0.06583291587168165,0.0,1.0
Rubén Iván Martínez Andrade,0.0854069071604283,0.0,1.0
Kepa Arrizabalaga Revuelta,0.054712391108654744,0.0,1.0
Leandro Chichizola,0.046273747745499555,0.0,1.0
Antonio Adán Garrido,0.09328064765530229,0.0,1.0
Sergio Rico González,0.08676691413207366,0.0,1.0
Vicente Guaita Panadero,0.08034363695904326,0.0,1.0
Andrés Tomás Prieto Albert,0.019232408921077363,0.0,1.0
Gorka Iraizoz Moreno,0.06649986455647505,0.0,1.0
