manager,directness,width,tempo,raw_directness,raw_width,raw_tempo
"Juan Rubén Uría Corral, Marcelino García Toral",4,7,10,0.24436741767764297,0.35181975736568455,990.0
José Miguel González Martín del Campo,4,7,10,0.24710991201097796,0.3529586551093303,1116.5702846476472
Luis Francisco Zubeldía,5,6,10,0.25,0.32899628252788105,996.0000000000001
Cristóbal Parralo Aguilera,5,7,10,0.2688927943760984,0.3848857644991213,1117.0
Joaquín de Jesús Caparrós Camino,4,6,10,0.2412703385226652,0.316315965030833,966.2257347165507
Gustavo Augusto Poyet Domínguez,4,6,10,0.21878121878121878,0.34565434565434566,882.0
Víctor Sánchez del Amo,4,6,10,0.24463370423565176,0.3439193647657289,1059.5093708913873
Petar Vasiljević,4,6,10,0.2275179856115108,0.3381294964028777,873.0
Salvador González Marco,5,6,10,0.25347143199606315,0.34793857426515373,998.0992744685873
Claudio Cesare Prandelli,5,7,10,0.2520242914979757,0.354251012145749,954.0
José Mel Pérez,5,5,10,0.26332036639840095,0.2999085639703604,1068.0377006770616
Luis Lucas Alcaraz González,4,7,10,0.23269384034483792,0.35397466997138566,957.2340759950578
Francisco Herrera Lorenzo,4,5,10,0.24303232998885171,0.2630992196209587,1117.0
Juan Eduardo Esnáider Belén,5,7,10,0.2595421947930983,0.36410889843003386,1104.6480551980121
Constantin Gâlcă,4,6,10,0.2407388542616235,0.33329481604102756,1095.3326819882432
Juan Merino Ruíz,4,7,10,0.23360293660422618,0.35250565311060056,1085.1375598384675
José Ramón Sandoval Huertas,4,6,10,0.2273772290601244,0.33334827882363244,1038.0378024886106
"Ricardo Miguel Moreira da Costa, José Manuel González López",5,6,10,0.2646341463414634,0.3280487804878049,983.0
"Carlos Gurpegi Nausia, Ernesto Valverde Tejedor",4,5,10,0.218609865470852,0.2858744394618834,1130.0
José Manuel González López,4,6,10,0.22915332044166484,0.3306319433454446,1080.0106342499796
Pablo Franco Martín,4,8,10,0.22694394213381555,0.4077757685352622,943.9999999999999
Cosmin Marius Contra,5,5,10,0.25163989805605824,0.2766943792558746,1104.2411250537814
José Antonio Romero Morilla,5,5,10,0.26192703461178674,0.28811973807296537,945.0
David Moyes,5,6,10,0.2551501322258412,0.3166019592776329,1047.500652657789
Abel Resino Gómez,5,7,10,0.2718679165069765,0.3640985971793455,999.5654206442238
Victor Fernández Braulio,5,6,10,0.2517234269892361,0.32244485142237383,995.0159582453446
Nuno Herlander Simões Espírito Santo,4,6,10,0.24296209516921877,0.312190462327177,1048.0907950476394
Miroslav Đukić,4,6,10,0.23968010045423085,0.34012964732487255,1027.5927737106576
Francisco Javier Rodríguez Vílchez,5,6,10,0.25626444441412444,0.31911351184496883,1011.6365399479145
Bernd Schuster,4,6,10,0.24267254729942356,0.30478249085275566,1092.856549398529
Juan Ignacio Martínez Jiménez,5,5,10,0.2517548750578572,0.28754610081320886,1063.7467344876186
Francesc Vilanova i Bayo,4,5,10,0.21146019812286512,0.28518563970031796,1154.3047975163818
Manuel Enrique Jiménez Jiménez,4,6,10,0.22840531397874234,0.30642018454250175,1016.8691097268372
Philippe Jacques William Montanier,4,6,10,0.23657205956641542,0.30413253607384705,967.2684424401452
Gregorio Manzano Ballesteros,5,5,10,0.2558438589984407,0.2747466497780833,1063.4565603972653
Luis García Plaza,4,5,10,0.24610345110627804,0.2728525119165156,947.7408213283903
Manuel Preciado Rebolledo,4,6,10,0.2448781815473397,0.3184348957008014,1081.3810738888283
Juan Carlos Garrido Fernández,4,6,10,0.24169262728305996,0.31970089659068346,1082.7590757032667
Fabriciano González Penelas,4,5,10,0.24315068493150688,0.2868150684931507,904.0
José Francisco Molina Jiménez ,4,6,10,0.24759152215799615,0.32947976878612717,1239.0
José Antonio Camacho Alfaro,4,6,10,0.24086969925351176,0.3022676653254754,1162.3064079717567
Miguel Ángel Portugal Vicario,4,6,10,0.24685365968038878,0.31164657715759264,1061.2403214539063
Esteban Vigo Benítez,4,6,10,0.24528847176653654,0.34266457576067494,1093.586655563927
Martín Lasarte Arrospide,4,6,10,0.21634950574378736,0.33574050303003045,902.1325422643307
Michael Laudrup,4,5,10,0.2358916410082497,0.29579965148825377,1055.1157171616267
Miguel Ángel Lotina Oruecheberría,4,6,10,0.24793069163084033,0.3352842744929967,1073.0250766724616
José Aurelio Gay López,4,6,10,0.24094633690937575,0.3385403320872669,1113.6496589919054
Juan Manuel Lillo Díez,4,6,10,0.24875846344704663,0.349097406884096,977.1235698786171
José Luis Oltra Castañer,5,5,10,0.2503037746894167,0.28317432808548,1072.1454646132267
Antonio Álvarez,5,6,10,0.27514792899408286,0.3244575936883629,994.0
Javier Clemente Lazaro,4,6,10,0.23946764327505485,0.3376946356664605,1068.1810821241008
Néstor Raúl Gorosito,4,6,10,0.22048066875653083,0.3103448275862069,1055.0
Juan Carlos Mandiá Lorenzo,4,6,10,0.22898032200357782,0.30500894454382826,946.9999999999999
Juan de la Cruz Ramos Cano,5,5,10,0.2589247904193701,0.278777923580026,1129.4614682238648
Sergije Krešić Juric,5,5,10,0.26422261111423767,0.2953616539707079,1010.4520268309699
Bartolomé Márquez López,5,6,10,0.27236315086782376,0.308411214953271,1078.0
Antonio Tapia Flores,4,5,10,0.24089003644206644,0.26916177413473336,1153.6199640915816
Víctor Muñoz Manrique,5,6,10,0.25808525932697834,0.3051923779177879,1102.7411238198786
Francisco Chaparro Jara,5,5,10,0.2725812085104348,0.28574441345762125,1134.0506122874103
Frank Rijkaard,5,5,10,0.26254776118010514,0.29643842727391856,1141.1523146517893
Giovanni De Biasi,5,5,10,0.2554945054945055,0.29395604395604397,1079.0
Javier Iruretagoyena Amiano,5,5,10,0.26977248104008666,0.2903575297941495,1186.0
Manuel Zambrano Díaz,5,5,10,0.2537634408602151,0.2913978494623656,1180.0
Francisco Flores Lajusticia,5,6,10,0.27346938775510204,0.3326530612244898,944.0
Fernando Vázquez Pena,4,6,10,0.23231249972746462,0.30148644332405133,1196.8950561854385
Fabio Capello,5,5,10,0.2702258972704141,0.2616512227615434,1147.0601118731042
Félix Ángel Sarriugarte Montoya,5,5,10,0.2712215320910973,0.28778467908902694,1003.9999999999999
Víctor Rodolfo Espárrago Videla,4,5,10,0.22325581395348837,0.25,1324.0
Vanderlei Luxemburgo da Silva,5,5,10,0.2703862660944206,0.29506437768240346,1208.0
Martín Monteagudo Monteagudo,4,5,10,0.24661810613943808,0.2684703433922997,1118.0
Christophe Galtier,4,7,10,0.22671227333273178,0.3507685673416227,936.3728304719848
Pascal Gastien,4,6,10,0.21517915568799906,0.33571040101851884,870.8751209340667
Olivier Pantaloni,4,7,10,0.23055718710481915,0.3831459130177197,895.9645429483046
Laurent Blanc,4,7,10,0.2070577388444273,0.37029505536559904,1141.3612491997412
Bruno Génésio,4,7,10,0.23739188039223882,0.36053618842879537,907.4023574910856
Eric Roy,5,6,10,0.2563619227144204,0.3421300659754949,980.0
Igor Tudor,5,7,10,0.2506474348462528,0.3822432499586413,1024.2076161066368
Paulo Alexandre Rodrigues Fonseca,4,6,10,0.225177644873159,0.343375830334685,1004.8750823045493
William Still,5,7,10,0.26177174780526735,0.37270550678371905,967.0
Abdelaziz Bouhazama,4,6,10,0.22076923076923077,0.31153846153846154,835.0
Christophe Pélissier,4,7,10,0.22395460930341518,0.3575061454441706,883.7729547453824
